"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"24705",1995,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1830148
"24769",2001,"United States","Croatia","Banking and financial services","II.4. Banking & Financial Services",3773322
"24954",1998,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",45777
"25258",1998,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",79697
"25470",2008,"European Communities (EC)","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",76825
"25827",2004,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",5420282
"26258",2004,"United States","Croatia","Business and other services","II.5. Business & Other Services",784728
"26559",1999,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",783200
"27179",2005,"United States","Croatia","Other","IV.2. Other Multisector",21538
"27208",2004,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",343134
"27380",2006,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",297
"27456",2006,"Switzerland","Croatia","Other","IV.2. Other Multisector",3575
"27853",1996,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",92080
"28522",2006,"Portugal","Croatia","","I.1.d. Post-Secondary Education",10884
"29009",2006,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1747082
"29580",2008,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",38789
"29819",2003,"United States","Croatia","Mineral resources and mining","III.2.b. Mineral Resources & Mining",349222
"29964",2003,"Germany","Croatia","Unallocated/  unspecified","I.5.b. Conflict, Peace & Security",1188924
"30243",2008,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4296970
"30328",1996,"Netherlands","Croatia","Emergency response","VIII.1. Emergency Response",466549
"31013",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",18965
"31306",2008,"Germany","Croatia","","I.1.d. Post-Secondary Education",131093
"31666",2002,"Sweden","Croatia","Communications","I.5.a. Government & Civil Society-general",16097
"31764",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",16918
"32085",1997,"European Communities (EC)","Croatia","Emergency response","VIII.1. Emergency Response",919025
"32210",2005,"Canada","Croatia","Transport and storage","II.1. Transport & Storage",485692
"32217",2007,"European Communities (EC)","Croatia","Population policies/ programmes and reproductive health","I.3. Population Pol./Progr. & Reproductive Health",2743510
"32308",2000,"United Kingdom","Croatia","Reconstruction relief","VIII.1. Emergency Response",1974982
"32313",2005,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",521450
"32678",1997,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",6898092
"32881",2001,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",99886
"33076",2005,"United States","Croatia","","II.5. Business & Other Services",11504765
"33455",2006,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2389473
"33555",2006,"United States","Croatia","Emergency response","VIII.1. Emergency Response",10981
"33784",2005,"Greece","Croatia","Other","IV.2. Other Multisector",10349
"33948",2004,"Austria","Croatia","General environmental protection","IV.1. General Environment Protection",237105
"33985",2001,"Austria","Croatia","","I.1.a. Education, Level Unspecified",97153
"34030",2005,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.1.c. Secondary Education",29408
"34207",2006,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",6589
"34531",2007,"France","Croatia","Other","IV.2. Other Multisector",6618
"34601",2007,"Germany","Croatia","Other","IV.2. Other Multisector",59978
"34735",2001,"Netherlands","Croatia","","IV.1. General Environment Protection",61042
"34917",2004,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",47124
"35157",2008,"Sweden","Croatia","Transport and storage","II.1. Transport & Storage",27491
"35170",1995,"United States","Croatia","","II.4. Banking & Financial Services",4379443
"35480",2005,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",41299
"36377",2000,"Italy","Croatia","Transport and storage","II.1. Transport & Storage",2179497
"37037",2003,"United States","Croatia","Other","IV.2. Other Multisector",824886
"37473",1999,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",93992
"37753",2004,"Japan","Croatia","Transport and storage","XII. Unallocated / Unspecified",931
"37973",2004,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1082355
"38384",2004,"France","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",46999
"39731",2001,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",291085
"39843",2008,"United States","Croatia","Other","IV.2. Other Multisector",278935
"40191",1999,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",18465
"40635",2005,"Greece","Croatia","Other","IV.2. Other Multisector",6202
"40776",2006,"Norway","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",391934
"40835",1998,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",45635
"40903",2001,"Austria","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",149952
"40906",2005,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",129774
"41021",2002,"Greece","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",30532
"41147",2004,"France","Croatia","","IV.1. General Environment Protection",7717
"41566",2008,"Belgium","Croatia","Other","IV.2. Other Multisector",1696
"41651",2005,"Norway","Croatia","Energy generation and supply","II.3. Energy",332315
"41727",1995,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",487995
"41853",1995,"Norway","Croatia","Refugees in donor countries","XI. Refugees in Donor Countries",561336
"42060",1996,"Austria","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",38479
"42281",2007,"Germany","Croatia","","I.4. Water Supply & Sanitation",3918429
"42300",1996,"France","Croatia","","I.1.a. Education, Level Unspecified",201178
"42500",1999,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",3150
"42709",2002,"Germany","Croatia","","I.1.d. Post-Secondary Education",90606
"42757",2007,"Norway","Croatia","Trade policy and regulations","I.5.a. Government & Civil Society-general",1194245
"43173",2005,"United States","Croatia","Other","IV.2. Other Multisector",3072018
"43272",2008,"Germany","Croatia","General environmental protection","IV.1. General Environment Protection",14313
"43947",2005,"European Communities (EC)","Croatia","Transport and storage","II.1. Transport & Storage",18700693
"44234",2002,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3689
"44371",2006,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",116209
"44475",2003,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",291922
"44487",1998,"United States","Croatia","Other","IV.2. Other Multisector",9942538
"45213",2005,"United States","Croatia","","II.5. Business & Other Services",77084
"45595",2003,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",5366371
"45630",2006,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",34225
"45667",2007,"Belgium","Croatia","","I.6. Other Social Infrastructure & Services",24371
"45910",2005,"Sweden","Croatia","","XII. Unallocated / Unspecified",17437
"45934",2000,"European Communities (EC)","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",169407
"46215",2007,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",161684
"46469",2004,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",468494
"46930",2008,"United States","Croatia","Other","IV.2. Other Multisector",6502
"46961",1996,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",4555894
"47258",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",18495
"47398",2008,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1145058
"47821",2002,"Austria","Croatia","","I.1.a. Education, Level Unspecified",37325
"48004",2007,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",92779
"48159",2008,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",34053
"48856",1996,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",2087514
"48857",1997,"World Bank - International Finance Corporation (IFC)","Croatia","Industry","",17471860
"49531",2001,"World Bank - International Finance Corporation (IFC)","Croatia","Industry","",77270049
"49584",2001,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",10085775
"49656",2002,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",30877729
"49740",1998,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",6134085
"50025",1999,"World Bank - International Finance Corporation (IFC)","Croatia","Business and other services","",22622364
"50026",1999,"World Bank - International Finance Corporation (IFC)","Croatia","Business and other services","",7540788
"50027",1999,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",2232073
"50495",2000,"World Bank - International Finance Corporation (IFC)","Croatia","Other social infrastructure and services","",4679279
"51049",1997,"United States","Croatia","Business and other services","",9151938
"52313",1998,"United States","Croatia","Construction","",91455042
"52714",2000,"World Bank - International Finance Corporation (IFC)","Croatia","Industry","",32910931
"53256",1998,"World Bank - International Finance Corporation (IFC)","Croatia","Industry","",51372958
"53621",2002,"World Bank - International Finance Corporation (IFC)","Croatia","Industry","",35572771
"53625",2002,"World Bank - International Finance Corporation (IFC)","Croatia","Banking and financial services","",42114530
"53954",1992,"Liechtenstein","Croatia","Emergency response","",10646
"53989",2005,"Liechtenstein","Croatia","Unallocated/  unspecified","",29251
"54615",1994,"Liechtenstein","Croatia","Secondary education","",32337
"54799",2007,"Monaco","Croatia","General environmental protection","",11371
"54829",2008,"Monaco","Croatia","Other social infrastructure and services","",113058
"54830",2008,"Monaco","Croatia","Conflict prevention and resolution, peace and security","",113058
"54831",2008,"Monaco","Croatia","General environmental protection","",29395
"55351",2006,"Monaco","Croatia","Basic health","",74571
"55352",2006,"Monaco","Croatia","Other social infrastructure and services","",7457
"55353",2006,"Monaco","Croatia","Conflict prevention and resolution, peace and security","",89486
"56479",1995,"Islamic Development Bank (ISDB)","Croatia","Education, level unspecified","",160473
"58928",2005,"World Bank - Managed Trust Funds","Croatia","Other social infrastructure and services","",109027
"59790",1997,"Global Environment Facility (GEF)","Croatia","General environmental protection","",153897
"59791",1999,"Global Environment Facility (GEF)","Croatia","General environmental protection","",1131118
"59792",2002,"Global Environment Facility (GEF)","Croatia","General environmental protection","",8294575
